document_id,case_id,document_type,title,content,tags,created_at,validation_status
DOC_RCA_V2_006,RCA_V2_006,RCA_CASE,Synthetic reviewed event 011: Dry Etch signal,"SYNTHETIC RCA CASE. A prior production-like event presented with single-wafer profile texture excursion; absence of repeated signatures on adjacent chamber runs. The signal was detected at Pattern transfer, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; Two adjacent control Lots ran on ETCH_METAL_08 without the sidewall defect, showing no chamber-level recurrence while leaving a one-wafer transient open. Root cause: UNRESOLVED because current-lot equipment evidence is missing. Corrective action: retain the wafer for review; do not promote a historical match. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Dry Etch;Unresolved;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_NOTE_V2_006,,ENGINEERING_NOTE,Synthetic causal-scope engineering note 012,"SYNTHETIC ENGINEERING NOTE. An observation containing single-wafer profile texture excursion; absence of repeated signatures on adjacent chamber runs can be detected at Pattern transfer without originating there. Preserve route distance, configured resource relations, and metrology repeatability as separate features. In this reviewed example the final attribution was UNRESOLVED because current-lot equipment evidence is missing. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Dry Etch;Unresolved;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_007,RCA_V2_007,RCA_CASE,Synthetic reviewed event 013: CVD signal,"SYNTHETIC RCA CASE. A prior production-like event presented with repeatable film loss on independent optical measurement; electrical capacitance movement consistent with reduced dielectric thickness. The signal was detected at Dielectric deposition, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; The source Lot and two exposed Lots share CVD_FILM_07 temperature OOC, independently measured film loss, and same-direction electrical movement.; Two later control Lots on CVD_FILM_07 have normal temperature, film thickness, and WAT after chamber-temperature recovery.; Current-Lot operational evidence supports the causal attribution. Root cause: CVD_FILM_07 chamber-temperature drift reduced deposition rate. Corrective action: repair chamber-temperature control; requalify deposition rate. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;CVD;CVD;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_SOP_V2_007,,SOP,Synthetic containment procedure 014,"SYNTHETIC SOP. Trigger pattern: repeatable film loss on independent optical measurement; electrical capacitance movement consistent with reduced dielectric thickness. Preserve the source Lot and detection timestamp; compare the actual route; retain candidates from same-step, upstream, shared-resource, and global lanes; verify current-Lot operational signals; record unavailable sources; stop with an inconclusive result when contradictions remain. Historical engineering context: CVD_FILM_07 chamber-temperature drift reduced deposition rate. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;CVD;CVD;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_008,RCA_V2_008,RCA_CASE,Synthetic reviewed event 015: Cu CMP signal,"SYNTHETIC RCA CASE. A prior production-like event presented with radially increasing recessed topography after planarization; pre-polish metal profile leaning across the wafer. The signal was detected at Copper planarization, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; Pre-CMP incoming copper thickness tilt measured 33.0 nm, proving the profile existed before polish.; The source Lot and three affected Lots share PLATE_CU_09 agitation OOC, Pre-CMP copper tilt, and post-CMP erosion.; Two later control Lots on PLATE_CU_09 have normal agitation, incoming copper profiles, and post-CMP results after controller recovery.; CMP_CU_21 removal-rate and endpoint signals remain normal on the source Lot.; Current-Lot operational evidence supports the causal attribution. Root cause: PLATE_CU_09 agitation controller drift distorted the incoming copper profile. Corrective action: replace the agitation encoder; qualify incoming copper uniformity. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Electroplating;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_NOTE_V2_008,,ENGINEERING_NOTE,Synthetic causal-scope engineering note 016,"SYNTHETIC ENGINEERING NOTE. An observation containing radially increasing recessed topography after planarization; pre-polish metal profile leaning across the wafer can be detected at Copper planarization without originating there. Preserve route distance, configured resource relations, and metrology repeatability as separate features. In this reviewed example the final attribution was PLATE_CU_09 agitation controller drift distorted the incoming copper profile. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Electroplating;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_009,RCA_V2_009,RCA_CASE,Synthetic reviewed event 017: Cu CMP signal,"SYNTHETIC RCA CASE. A prior production-like event presented with curved surface marks recurring with rinse exposure; defect orientation tied to chamber rotation geometry. The signal was detected at Copper planarization, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; The source Lot and three affected Lots share CMP_CU_22_CH01 particle OOC and matching arc orientation, curvature, and location distributions.; Two later control Lots on CMP_CU_22_CH01 have normal particle indicators and defect counts after rinse-chamber cleaning.; CMP_CU_22 carrier-head runout and pad-conditioner torque remain normal.; Current-Lot operational evidence supports the causal attribution. Root cause: CMP_CU_22 post-polish rinse chamber particle shedding marked wafers. Corrective action: clean and qualify the rinse chamber; inspect all lots sharing its exposure window. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_SOP_V2_009,,SOP,Synthetic containment procedure 018,"SYNTHETIC SOP. Trigger pattern: curved surface marks recurring with rinse exposure; defect orientation tied to chamber rotation geometry. Preserve the source Lot and detection timestamp; compare the actual route; retain candidates from same-step, upstream, shared-resource, and global lanes; verify current-Lot operational signals; record unavailable sources; stop with an inconclusive result when contradictions remain. Historical engineering context: CMP_CU_22 post-polish rinse chamber particle shedding marked wafers. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",surface_geometry;Cu CMP;Cu CMP;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_010,RCA_V2_010,RCA_CASE,Synthetic reviewed event 019: WAT signal,"SYNTHETIC RCA CASE. A prior production-like event presented with upper-tail transistor turn-on displacement; interconnect control structures remaining nominal. The signal was detected at Electrical parametric test, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; The source Lot and two affected Lots share IMP_WELL_03 dose-integrator OOC and same-direction Vt shifts.; Two later control Lots on IMP_WELL_03 have normal dose integration and Vt after recalibration.; Independent retest on WAT_CELL_09 reproduces the Vt shift on all three affected Lots, excluding a single-tester artifact.; Metal resistance and reticle-field periodicity controls remain normal.; Current-Lot operational evidence supports the causal attribution. Root cause: IMP_WELL_03 dose-integrator drift shifted well implant dose. Corrective action: recalibrate the dose integrator; review lots since the last beam check. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;WAT;Ion Implant;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_NOTE_V2_010,,ENGINEERING_NOTE,Synthetic causal-scope engineering note 020,"SYNTHETIC ENGINEERING NOTE. An observation containing upper-tail transistor turn-on displacement; interconnect control structures remaining nominal can be detected at Electrical parametric test without originating there. Preserve route distance, configured resource relations, and metrology repeatability as separate features. In this reviewed example the final attribution was IMP_WELL_03 dose-integrator drift shifted well implant dose. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;WAT;Ion Implant;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_011,RCA_V2_011,RCA_CASE,Synthetic reviewed event 021: WAT signal,"SYNTHETIC RCA CASE. A prior production-like event presented with meandering electrical short pattern across repeated fields; failure cadence matching exposure-row spacing. The signal was detected at Electrical parametric test, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; The source Lot and two affected Lots share LITHO_SCN_06 reticle-scatter OOC and leakage periodicity aligned to exposure-field spacing.; Two later control Lots on LITHO_SCN_06 have normal reticle scatter and leakage after reticle cleaning.; Independent retest on WAT_CELL_10 reproduces the same leakage rate and spatial periodicity on all affected Lots.; Vt shift, probe contact resistance, and test-sequence correlation remain normal, weakening implant and probe-card hypotheses.; Current-Lot operational evidence supports the causal attribution. Root cause: LITHO_SCN_06 reticle haze repeated a line-space bridging signature. Corrective action: clean and reinspect the reticle; screen lots exposed after haze growth. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;WAT;Lithography;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_SOP_V2_011,,SOP,Synthetic containment procedure 022,"SYNTHETIC SOP. Trigger pattern: meandering electrical short pattern across repeated fields; failure cadence matching exposure-row spacing. Preserve the source Lot and detection timestamp; compare the actual route; retain candidates from same-step, upstream, shared-resource, and global lanes; verify current-Lot operational signals; record unavailable sources; stop with an inconclusive result when contradictions remain. Historical engineering context: LITHO_SCN_06 reticle haze repeated a line-space bridging signature. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;WAT;Lithography;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_012,RCA_V2_012,RCA_CASE,Synthetic reviewed event 023: Metrology signal,"SYNTHETIC RCA CASE. A prior production-like event presented with alternating wafer positions with reduced dielectric deposition; subsequent planarization controls showing no rate loss. The signal was detected at Inline measurement, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; The source Lot and three affected Lots share CVD_ILD_17 sensor OOC and film loss on odd wafer slots only.; Two later control Lots on CVD_ILD_17 have normal FDC and all six wafer slots inside film-thickness specification after sensor replacement.; Downstream CMP removal-rate and endpoint signals remain normal.; Independent MET_FILM_12 remeasurement reproduces the odd-slot film-loss pattern while even slots remain normal.; Current-Lot operational evidence supports the causal attribution. Root cause: CVD_ILD_17 susceptor sensor intermittency reduced odd-slot deposition rate. Corrective action: replace the susceptor sensor; hold lots sharing chamber and time exposure. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Metrology;CVD;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_NOTE_V2_012,,ENGINEERING_NOTE,Synthetic causal-scope engineering note 024,"SYNTHETIC ENGINEERING NOTE. An observation containing alternating wafer positions with reduced dielectric deposition; subsequent planarization controls showing no rate loss can be detected at Inline measurement without originating there. Preserve route distance, configured resource relations, and metrology repeatability as separate features. In this reviewed example the final attribution was CVD_ILD_17 susceptor sensor intermittency reduced odd-slot deposition rate. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Metrology;CVD;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_013,RCA_V2_013,RCA_CASE,Synthetic reviewed event 025: Cu CMP signal,"SYNTHETIC RCA CASE. A prior production-like event presented with brief planarization efficiency reduction without recurrence; later production material remaining inside baseline. The signal was detected at Copper planarization, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; Pre-CMP incoming film thickness tilt measured 1.0 nm inside specification, weakening the upstream-profile hypothesis.; Two later control Lots on CMP_CU_23 have normal removal and endpoint behavior.; Pad age, conditioner torque, slurry delivery, carrier pressure, and platen speed remain normal on the source Lot.; The source Lot has a real endpoint extension and removal-rate dip on CMP_CU_23; later controls are normal.; Independent post-CMP metrology confirms residual film on the source Lot, excluding a pure endpoint-sensor artifact. Root cause: UNRESOLVED after normal pad and equipment checks because chemical batch genealogy is unavailable. Corrective action: report the unavailable chemical genealogy source; preserve slurry samples without attributing a batch. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Cu CMP;Unresolved;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_SOP_V2_013,,SOP,Synthetic containment procedure 026,"SYNTHETIC SOP. Trigger pattern: brief planarization efficiency reduction without recurrence; later production material remaining inside baseline. Preserve the source Lot and detection timestamp; compare the actual route; retain candidates from same-step, upstream, shared-resource, and global lanes; verify current-Lot operational signals; record unavailable sources; stop with an inconclusive result when contradictions remain. Historical engineering context: UNRESOLVED after normal pad and equipment checks because chemical batch genealogy is unavailable. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;Cu CMP;Unresolved;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_RCA_V2_014,RCA_V2_014,RCA_CASE,Synthetic reviewed event 027: WAT signal,"SYNTHETIC RCA CASE. A prior production-like event presented with intermittent high-ohmic probe readings; excursions repeating with measurement-site sequence. The signal was detected at Electrical parametric test, but the investigation kept that location as a ranking hint. Evidence reviewed: Source Lot route and equipment exposure are available.; The user-visible symptom and measurement are reproducible.; The retained source wafer passes on independent WAT_CELL_13, excluding a reproducible wafer electrical excursion.; Optical inspection finds contamination residue on the WAT_CELL_12 probe card.; After probe-card cleaning and qualification, the retained wafer and two later control Lots pass on WAT_CELL_12 without measurement-sequence repetition.; The qualification-to-cleaning equipment genealogy contains only the source Lot, so no additional impacted Lots are confirmed.; WAT_CELL_12 probe-contact repeatability is abnormal on the source Lot; this localizes the signal to the measurement system but does not alone prove probe-card contamination. Root cause: WAT_CELL_12 probe-card contamination caused false resistance spikes. Corrective action: clean and qualify the probe card; retest retained wafers. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;WAT;WAT;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
DOC_NOTE_V2_014,,ENGINEERING_NOTE,Synthetic causal-scope engineering note 028,"SYNTHETIC ENGINEERING NOTE. An observation containing intermittent high-ohmic probe readings; excursions repeating with measurement-site sequence can be detected at Electrical parametric test without originating there. Preserve route distance, configured resource relations, and metrology repeatability as separate features. In this reviewed example the final attribution was WAT_CELL_12 probe-card contamination caused false resistance spikes. Boundary: Historical similarity proposes a hypothesis; current-Lot operational evidence remains required for root-cause confirmation.",parametric_shift;WAT;WAT;Synthetic V2,2025-01-15T00:00:00+00:00,CONFIRMED
