case_id,title,technology,module,equipment_type,symptom,root_cause,solution,confidence,created_at,validation_status
RCA_SYN_017,Plasma etch-rate loss,28nm,Etch,Plasma Etcher,etch rate trends low with rising source-RF reflected power and stable gas flow,Source-RF delivery degraded because of a matching-network fault,inspect the RF match network; verify delivered power; qualify etch rate,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_018,Etch CD-bias pressure excursion,28nm,Etch,Plasma Etcher,post-etch CD bias shifts while chamber pressure oscillates and RF signals remain stable,The pressure-control valve response became unstable,service the pressure valve; verify pressure response; run CD qualification,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_019,Etch residue after early endpoint,40nm,Etch,Plasma Etcher,residue rises when optical endpoint terminates early despite normal RF and pressure,Endpoint-window coating biased the optical termination signal,clean the endpoint window; verify optical baseline; run residue monitors,0.94,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_020,Etch selectivity loss,28nm,Etch,Plasma Etcher,selectivity drops while one chemistry-ratio trace drifts and chamber pressure is normal,A reactant MFC calibration error shifted the chemistry ratio,calibrate the reactant MFC; verify gas ratio; qualify selectivity,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_021,Etch microtrenching increase,28nm,Etch,Plasma Etcher,microtrenching rises with elevated bias-RF power while average etch rate stays near target,Bias-RF calibration was high and increased directional ion energy,calibrate bias RF; verify profile monitors; qualify trench shape,0.91,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_022,Ion implant dose-low excursion,40nm,Implant,Ion Implanter,sheet resistance shifts high while beam-current dose integration trends low,Beam-current calibration understated the delivered dose,calibrate beam current; verify dosimetry; run sheet-resistance monitors,0.94,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_023,Ion implant energy-shift signature,28nm,Implant,Ion Implanter,junction-depth monitors shift with high-voltage ripple while integrated dose remains normal,Acceleration high-voltage ripple shifted the implant energy distribution,service the high-voltage supply; verify energy calibration; qualify junction depth,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_024,Ion implant angle asymmetry,28nm,Implant,Ion Implanter,left-right device asymmetry appears with normal dose and energy monitors,Wafer tilt calibration introduced an implant-angle offset,calibrate wafer tilt; inspect chuck alignment; run angle-sensitive monitors,0.91,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_025,Implanter endstation particle event,40nm,Implant,Ion Implanter,backside and edge particles rise on one endstation with normal beam parameters,Worn endstation clamp pads shed particles during wafer handling,replace clamp pads; clean the endstation; verify particle monitors,0.90,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_026,Anneal sheet-resistance high,40nm,Diffusion,Furnace,sheet resistance trends high by furnace run while implant dose monitors remain normal,Furnace-zone temperature calibration drifted below the activation target,calibrate furnace zones; verify thermal profile; run activation monitors,0.94,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_027,Furnace oxygen-precipitate increase,40nm,Diffusion,Furnace,oxygen-related defect monitors rise after a furnace idle period with normal temperature traces,A small process-tube leak admitted oxygen during anneal,perform leak check; repair tube seals; qualify oxygen monitors,0.91,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_028,Oxidation edge-thickness shift,40nm,Diffusion,Furnace,oxide thickness is edge-high across boat positions while average gas flow remains normal,Gas-distribution hardware produced a radial reactant imbalance,inspect gas injectors; verify flow distribution; qualify oxide maps,0.91,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_029,Furnace boat-slot periodic defects,40nm,Diffusion,Furnace,defect counts repeat at fixed boat-slot intervals with stable temperature and atmosphere signals,Localized quartz-boat contamination transferred particles to repeating slots,replace or clean the quartz boat; map slot history; run particle qualification,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_030,PVD metal sheet-resistance drift,28nm,Metal,PVD,sheet resistance rises gradually with target age while preclean monitors remain normal,Target erosion changed deposition-rate uniformity near end of life,replace the target; verify target-life counters; qualify thickness and resistance,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_031,PVD interface-void increase,28nm,Metal,PVD,interface voids increase while deposition thickness is normal and preclean RF trends low,Preclean RF delivery was insufficient to remove native oxide,repair preclean RF delivery; verify surface-clean monitor; qualify interface integrity,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_032,PVD chamber particle excursion,40nm,Metal,PVD,particle counts rise after extended shield life and cluster on one deposition chamber,Deposited film flaked from an over-life chamber shield,replace chamber shields; clean the chamber; verify particle qualification,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_033,PVD left-right thickness asymmetry,28nm,Metal,PVD,left-right thickness asymmetry increases while average deposition rate remains stable,Magnet-scan calibration shifted the plasma distribution,calibrate magnet scan; verify wafer maps; run uniformity qualification,0.91,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_034,Wet-clean watermark excursion,40nm,Wet Clean,Wet Bench,watermarks rise after spin drying while incoming surface inspection is normal,IPA drying flow was below the stable displacement range,restore IPA flow; verify drying profile; inspect monitor wafers,0.92,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_035,Wet-clean metallic contamination,28nm,Wet Clean,Wet Bench,surface-metal monitors trend high late in bath life with normal incoming wafers,The chemical bath exceeded its contamination-control lifetime,replace the bath; review bath-life limits; qualify surface metals,0.94,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_036,Wet-clean oxide-loss excursion,28nm,Wet Clean,Wet Bench,oxide loss increases with stable process time but abnormal bath-concentration checks,Dilute-HF concentration was above its qualified range,restore HF concentration; calibrate concentration measurement; qualify oxide loss,0.93,2026-08-08T00:00:00+08:00,CONFIRMED
RCA_SYN_DRAFT_001,Draft RCA sentinel with highly searchable CMP terms,40nm,Cu CMP,CMP,slurry scratch endpoint Cu residue removal rate high-confidence draft sentinel,Unapproved synthetic draft root cause,do not use this draft,0.99,2026-08-08T00:00:00+08:00,DRAFT
